"Bx","By","Bz","lT","lne","lp","lrho","user1","user2","user3","user4","user5","vx","vy","vz","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.949e-10,2.2199e-08,2.1755e-09,5.9272,9.2166,-7.7162,-17.785,6.6911e-22,1.8587e+10,1.4745,1.5217,0,54888,4.7171e+05,41169,1,1.8617e+10,0,1.8569e+10,1.334e+09
9.9266e-10,2.2119e-08,2.1673e-09,5.927,9.2151,-7.7178,-17.787,6.632e-22,1.8615e+10,1.4745,1.5217,0,54971,4.7181e+05,41170,1,1.8645e+10,0,1.8597e+10,1.336e+09
9.9044e-10,2.204e-08,2.1592e-09,5.9269,9.2136,-7.7195,-17.788,6.5746e-22,1.8643e+10,1.4745,1.5217,0,55054,4.7191e+05,41170,1,1.8673e+10,0,1.8625e+10,1.338e+09
9.8822e-10,2.1962e-08,2.1512e-09,5.9267,9.212,-7.7212,-17.79,6.5171e-22,1.8671e+10,1.4745,1.5217,0,55137,4.72e+05,41171,1,1.8701e+10,0,1.8653e+10,1.34e+09
9.8601e-10,2.1883e-08,2.1431e-09,5.9266,9.2105,-7.7228,-17.791,6.4603e-22,1.8699e+10,1.4745,1.5217,0,55219,4.721e+05,41171,1,1.8729e+10,0,1.8681e+10,1.342e+09
9.8382e-10,2.1806e-08,2.1352e-09,5.9264,9.209,-7.7245,-17.793,6.4044e-22,1.8727e+10,1.4745,1.5217,0,55302,4.7219e+05,41172,1,1.8757e+10,0,1.8708e+10,1.344e+09
9.8162e-10,2.1728e-08,2.1272e-09,5.9263,9.2075,-7.7262,-17.794,6.3484e-22,1.8755e+10,1.4745,1.5217,0,55385,4.7228e+05,41172,1,1.8785e+10,0,1.8736e+10,1.346e+09
9.7944e-10,2.1651e-08,2.1194e-09,5.9261,9.206,-7.7278,-17.796,6.2938e-22,1.8783e+10,1.4745,1.5217,0,55468,4.7238e+05,41173,1,1.8813e+10,0,1.8764e+10,1.348e+09
9.7727e-10,2.1575e-08,2.1115e-09,5.926,9.2045,-7.7295,-17.797,6.2393e-22,1.8811e+10,1.4745,1.5217,0,55551,4.7247e+05,41173,1,1.884e+10,0,1.8792e+10,1.35e+09
9.751e-10,2.1498e-08,2.1037e-09,5.9258,9.203,-7.7311,-17.799,6.1853e-22,1.8839e+10,1.4745,1.5217,0,55634,4.7257e+05,41174,1,1.8868e+10,0,1.882e+10,1.352e+09
9.7295e-10,2.1423e-08,2.0959e-09,5.9257,9.2015,-7.7327,-17.8,6.1322e-22,1.8867e+10,1.4745,1.5217,0,55717,4.7266e+05,41174,1,1.8896e+10,0,1.8848e+10,1.354e+09
9.7079e-10,2.1347e-08,2.0882e-09,5.9255,9.2,-7.7344,-17.802,6.0791e-22,1.8894e+10,1.4745,1.5217,0,55800,4.7275e+05,41175,1,1.8924e+10,0,1.8876e+10,1.356e+09
9.6866e-10,2.1272e-08,2.0805e-09,5.9254,9.1985,-7.736,-17.803,6.0272e-22,1.8922e+10,1.4745,1.5217,0,55883,4.7285e+05,41175,1,1.8952e+10,0,1.8903e+10,1.358e+09
9.6653e-10,2.1198e-08,2.0729e-09,5.9252,9.197,-7.7377,-17.805,5.9754e-22,1.895e+10,1.4745,1.5217,0,55965,4.7294e+05,41176,1,1.898e+10,0,1.8931e+10,1.36e+09
9.644e-10,2.1123e-08,2.0653e-09,5.9251,9.1956,-7.7393,-17.806,5.9242e-22,1.8978e+10,1.4745,1.5217,0,56048,4.7303e+05,41176,1,1.9008e+10,0,1.8959e+10,1.362e+09
9.6229e-10,2.105e-08,2.0577e-09,5.9249,9.1941,-7.7409,-17.808,5.8737e-22,1.9006e+10,1.4745,1.5217,0,56131,4.7313e+05,41177,1,1.9036e+10,0,1.8987e+10,1.364e+09
9.6018e-10,2.0976e-08,2.0502e-09,5.9248,9.1926,-7.7426,-17.809,5.8233e-22,1.9034e+10,1.4745,1.5217,0,56214,4.7322e+05,41177,1,1.9064e+10,0,1.9015e+10,1.366e+09
9.5809e-10,2.0903e-08,2.0427e-09,5.9246,9.1911,-7.7442,-17.81,5.774e-22,1.9062e+10,1.4745,1.5217,0,56297,4.7331e+05,41178,1,1.9092e+10,0,1.9043e+10,1.368e+09
9.56e-10,2.083e-08,2.0353e-09,5.9245,9.1896,-7.7458,-17.812,5.7248e-22,1.909e+10,1.4745,1.5217,0,56380,4.734e+05,41178,1,1.912e+10,0,1.907e+10,1.37e+09
9.5391e-10,2.0758e-08,2.0279e-09,5.9243,9.1882,-7.7474,-17.813,5.6761e-22,1.9118e+10,1.4745,1.5217,0,56463,4.7349e+05,41179,1,1.9147e+10,0,1.9098e+10,1.372e+09
9.5184e-10,2.0686e-08,2.0205e-09,5.9242,9.1867,-7.7491,-17.815,5.6282e-22,1.9146e+10,1.4745,1.5217,0,56546,4.7359e+05,41179,1,1.9175e+10,0,1.9126e+10,1.374e+09
9.4977e-10,2.0614e-08,2.0132e-09,5.924,9.1852,-7.7507,-17.816,5.5803e-22,1.9174e+10,1.4745,1.5217,0,56628,4.7368e+05,41180,1,1.9203e+10,0,1.9154e+10,1.376e+09
9.4772e-10,2.0543e-08,2.0059e-09,5.9239,9.1838,-7.7523,-17.818,5.5333e-22,1.9202e+10,1.4745,1.5217,0,56711,4.7377e+05,41180,1,1.9231e+10,0,1.9182e+10,1.378e+09
9.4567e-10,2.0472e-08,1.9987e-09,5.9237,9.1823,-7.7539,-17.819,5.4867e-22,1.9229e+10,1.4745,1.5217,0,56794,4.7386e+05,41181,1,1.9259e+10,0,1.921e+10,1.38e+09
9.4363e-10,2.0401e-08,1.9914e-09,5.9236,9.1808,-7.7555,-17.821,5.4403e-22,1.9257e+10,1.4745,1.5217,0,56877,4.7395e+05,41181,1,1.9287e+10,0,1.9237e+10,1.382e+09
9.416e-10,2.0331e-08,1.9843e-09,5.9234,9.1794,-7.7571,-17.822,5.3948e-22,1.9285e+10,1.4745,1.5217,0,56960,4.7404e+05,41181,1,1.9315e+10,0,1.9265e+10,1.384e+09
9.3957e-10,2.0261e-08,1.9771e-09,5.9233,9.1779,-7.7587,-17.824,5.3493e-22,1.9313e+10,1.4745,1.5217,0,57043,4.7413e+05,41182,1,1.9343e+10,0,1.9293e+10,1.386e+09
9.3755e-10,2.0192e-08,1.9701e-09,5.9232,9.1765,-7.7603,-17.825,5.3046e-22,1.9341e+10,1.4745,1.5217,0,57126,4.7422e+05,41182,1,1.9371e+10,0,1.9321e+10,1.388e+09
9.3554e-10,2.0123e-08,1.963e-09,5.923,9.175,-7.7619,-17.827,5.2603e-22,1.9369e+10,1.4745,1.5217,0,57209,4.7431e+05,41183,1,1.9399e+10,0,1.9349e+10,1.39e+09
9.3354e-10,2.0054e-08,1.9559e-09,5.9229,9.1736,-7.7635,-17.828,5.2161e-22,1.9397e+10,1.4745,1.5217,0,57291,4.744e+05,41183,1,1.9427e+10,0,1.9377e+10,1.392e+09
