"Bx","By","Bz","lT","lne","lp","lrho","user1","user2","user3","user4","user5","vx","vy","vz","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.2837e-09,1.6886e-06,1.8691e-05,6.1544,11.489,-5.2166,-15.513,2.0697e-14,1.4159e+09,0.042841,1.5217,0,287.64,32633,3.6251e+05,1,1.4514e+09,0,1.04e+08,1.4477e+09
3.1845e-09,1.6019e-06,1.7792e-05,6.1519,11.464,-5.2444,-15.538,1.7999e-14,1.4439e+09,0.042841,1.5217,0,293.75,32855,3.6608e+05,1,1.4793e+09,0,1.06e+08,1.4755e+09
3.0952e-09,1.5268e-06,1.701e-05,6.1495,11.44,-5.2708,-15.562,1.6032e-14,1.4718e+09,0.042841,1.5217,0,299.85,33048,3.6935e+05,1,1.5072e+09,0,1.08e+08,1.5034e+09
3.006e-09,1.4518e-06,1.6227e-05,6.1471,11.416,-5.2972,-15.586,1.4065e-14,1.4997e+09,0.042841,1.5217,0,305.94,33241,3.7262e+05,1,1.5351e+09,0,1.1e+08,1.5312e+09
2.9243e-09,1.3851e-06,1.5529e-05,6.1448,11.393,-5.3224,-15.609,1.2524e-14,1.5276e+09,0.042841,1.5217,0,312.02,33415,3.7566e+05,1,1.5631e+09,0,1.12e+08,1.559e+09
2.8458e-09,1.3221e-06,1.4868e-05,6.1425,11.37,-5.3471,-15.631,1.1165e-14,1.5556e+09,0.042841,1.5217,0,318.1,33580,3.7861e+05,1,1.591e+09,0,1.14e+08,1.5869e+09
2.7689e-09,1.2606e-06,1.4222e-05,6.1403,11.348,-5.3716,-15.654,9.8724e-15,1.5835e+09,0.042841,1.5217,0,324.17,33741,3.8151e+05,1,1.6189e+09,0,1.16e+08,1.6147e+09
2.6995e-09,1.2073e-06,1.3658e-05,6.1382,11.327,-5.3948,-15.675,8.9114e-15,1.6114e+09,0.042841,1.5217,0,330.24,33883,3.8419e+05,1,1.6468e+09,0,1.18e+08,1.6426e+09
2.6301e-09,1.1539e-06,1.3093e-05,6.1361,11.306,-5.4181,-15.696,7.9504e-15,1.6394e+09,0.042841,1.5217,0,336.3,34025,3.8687e+05,1,1.6747e+09,0,1.2e+08,1.6704e+09
2.5656e-09,1.1055e-06,1.2579e-05,6.134,11.285,-5.4405,-15.716,7.1603e-15,1.6673e+09,0.042841,1.5217,0,342.36,34155,3.894e+05,1,1.7026e+09,0,1.22e+08,1.6982e+09
2.5038e-09,1.0599e-06,1.2094e-05,6.1321,11.265,-5.4624,-15.736,6.4675e-15,1.6952e+09,0.042841,1.5217,0,348.41,34278,3.9185e+05,1,1.7305e+09,0,1.24e+08,1.7261e+09
2.4427e-09,1.0151e-06,1.1616e-05,6.1301,11.246,-5.4843,-15.756,5.7941e-15,1.7231e+09,0.042841,1.5217,0,354.46,34400,3.9429e+05,1,1.7584e+09,0,1.26e+08,1.7539e+09
2.3875e-09,9.7592e-07,1.1197e-05,6.1282,11.227,-5.505,-15.775,5.2858e-15,1.7511e+09,0.042841,1.5217,0,360.5,34507,3.9654e+05,1,1.7864e+09,0,1.28e+08,1.7818e+09
2.3322e-09,9.3678e-07,1.0777e-05,6.1263,11.208,-5.5258,-15.794,4.7775e-15,1.779e+09,0.042841,1.5217,0,366.55,34615,3.988e+05,1,1.8143e+09,0,1.3e+08,1.8096e+09
2.2802e-09,9.0068e-07,1.0389e-05,6.1245,11.189,-5.546,-15.812,4.3434e-15,1.8069e+09,0.042841,1.5217,0,372.59,34716,4.0097e+05,1,1.8422e+09,0,1.32e+08,1.8374e+09
2.2305e-09,8.6684e-07,1.0023e-05,6.1227,11.171,-5.5658,-15.83,3.9645e-15,1.8349e+09,0.042841,1.5217,0,378.62,34811,4.0306e+05,1,1.8701e+09,0,1.34e+08,1.8653e+09
