r [Rsol]	 vr_mean [km/s]	 vr_stddev [km/s]	 vr_median [km/s]	 vr_q1 [km/s]	 vr_q3 [km/s]	 rho_mean [cm-3]	 rho_stddev [cm-3]	 rho_median [cm-3]	 rho_q1 [cm-3]	 rho_q3 [cm-3]	 T_mean [K]	 T_stddev [K]	 T_median [K]	 T_q1 [K]	 T_q3 [K]
19.35	 285.947	 4.615	 285.851	 282.700	 287.159	 6135.398	 286.302	 6211.850	 5963.176	 6395.785	 74721.414	 6572.700	 75339.320	 71529.840	 76593.012
20.65	 295.715	 7.733	 296.830	 287.439	 302.007	 5532.091	 566.168	 5694.766	 5348.567	 5933.121	 72310.046	 10621.686	 74658.430	 66575.309	 79943.828
20.75	 293.085	 7.599	 292.540	 288.221	 300.674	 5350.633	 485.453	 5420.714	 5028.938	 5579.573	 60316.027	 3731.764	 59944.051	 57973.672	 64122.125
23.35	 273.562	 1.717	 272.925	 272.178	 274.521	 3667.454	 82.924	 3633.854	 3610.903	 3701.228	 50632.857	 1197.058	 50553.062	 49929.064	 51387.670
23.45	 275.115	 2.475	 274.902	 273.028	 276.422	 3586.866	 282.410	 3534.470	 3383.091	 3722.939	 51499.030	 2950.047	 51159.775	 50118.389	 52611.019
23.55	 279.943	 6.268	 276.902	 275.424	 285.932	 3537.941	 208.829	 3480.958	 3450.730	 3578.025	 51098.542	 4719.069	 51196.234	 48245.379	 51557.107
23.65	 286.017	 17.352	 277.998	 274.230	 289.786	 3585.199	 414.789	 3619.896	 3405.968	 3799.126	 51918.539	 13065.496	 49387.512	 44089.568	 57216.482
23.75	 297.075	 35.025	 290.789	 282.888	 301.569	 3953.665	 651.786	 3991.645	 3867.744	 4130.870	 64122.273	 74961.028	 52219.117	 50509.643	 55006.957
23.85	 286.395	 5.925	 285.303	 282.650	 289.370	 3398.696	 181.405	 3324.497	 3303.011	 3514.136	 52695.934	 3781.989	 52505.906	 50586.297	 54488.589
23.95	 221.599	 0.708	 221.599	 221.245	 221.953	 2689.534	 202.409	 2689.534	 2588.330	 2790.739	 106084.539	 2436.602	 106084.539	 104866.238	 107302.840
24.05	 227.702	 3.912	 227.286	 224.245	 231.673	 3125.111	 361.530	 3045.494	 2974.170	 3339.916	 95526.574	 10897.949	 94869.367	 87613.801	 100413.383
25.05	 250.498	 2.245	 250.755	 249.192	 251.932	 2123.738	 58.034	 2157.854	 2099.944	 2164.589	 91668.786	 1406.568	 91863.688	 90860.312	 92574.711
25.15	 237.628	 12.378	 231.198	 229.761	 247.508	 2098.867	 334.914	 2149.632	 1842.468	 2196.445	 118284.081	 7184.984	 117532.410	 115060.027	 119425.342
25.25	 419.691	 78.660	 419.691	 380.361	 459.021	 290.010	 39.474	 290.010	 270.273	 309.746	 454289.688	 15970.594	 454289.688	 446304.391	 462274.984
25.35	 342.686	 6.527	 342.580	 338.493	 346.992	 272.660	 43.447	 260.620	 237.218	 296.316	 312111.937	 41522.414	 308685.906	 279975.961	 345149.086
25.45	 335.565	 11.061	 335.550	 330.512	 341.776	 237.665	 214.797	 218.458	 209.492	 229.399	 228883.738	 35863.645	 223388.062	 201793.656	 253177.656
25.55	 341.674	 8.740	 341.474	 334.792	 347.878	 212.604	 14.879	 211.992	 202.262	 222.405	 216633.865	 30945.557	 210979.141	 192138.906	 237855.906
25.65	 355.496	 12.894	 356.331	 345.498	 364.125	 234.889	 26.151	 230.973	 217.427	 247.299	 255551.908	 48955.503	 246247.188	 221004.074	 277318.992
25.75	 360.080	 18.029	 356.855	 349.933	 366.373	 239.667	 113.505	 230.898	 219.347	 244.936	 295872.550	 121931.148	 264050.312	 234169.461	 311635.398
25.85	 336.595	 33.924	 350.006	 302.779	 358.771	 509.728	 436.322	 233.844	 215.071	 1023.296	 219746.763	 93482.474	 223894.953	 122480.582	 268807.609
25.95	 336.621	 49.313	 350.237	 294.087	 359.210	 606.266	 496.787	 232.277	 216.067	 1131.951	 226129.310	 143280.044	 213729.086	 106830.453	 256083.699
26.05	 363.947	 10.814	 360.921	 355.559	 370.420	 220.093	 17.546	 217.159	 209.517	 226.561	 266224.035	 50390.407	 251273.109	 231249.133	 290632.078
26.15	 372.930	 12.316	 370.728	 363.848	 379.489	 237.196	 33.624	 228.952	 215.497	 248.418	 280362.156	 55576.096	 269857.250	 245968.297	 298056.836
26.25	 371.111	 15.521	 368.750	 358.619	 380.251	 238.929	 38.304	 227.255	 213.701	 250.932	 286311.750	 64844.744	 270366.984	 238987.480	 314947.578
26.35	 375.845	 19.066	 375.140	 359.940	 386.824	 230.150	 38.324	 218.005	 205.404	 241.093	 323060.176	 91571.544	 303276.656	 257796.914	 360780.594
26.45	 377.244	 17.861	 374.114	 366.551	 384.097	 208.859	 30.731	 200.635	 189.734	 218.451	 349011.290	 125363.101	 317004.344	 275442.727	 374194.305
26.55	 384.803	 27.478	 380.292	 366.886	 399.486	 240.167	 208.493	 202.398	 191.716	 228.615	 412149.771	 151864.617	 380955.969	 302439.422	 479935.984
26.65	 378.665	 10.216	 377.990	 372.803	 383.112	 199.812	 60.607	 195.799	 185.240	 205.570	 314948.184	 60538.408	 303303.781	 278663.586	 341636.117
26.75	 386.673	 18.022	 381.616	 372.425	 396.573	 200.922	 30.503	 192.747	 181.618	 211.138	 361542.978	 119336.129	 320639.562	 277358.633	 408657.328
26.85	 389.398	 17.341	 389.074	 378.080	 399.104	 217.140	 42.013	 206.240	 187.404	 235.239	 378873.635	 106169.876	 359905.594	 310846.578	 424013.664
26.95	 363.634	 38.629	 371.899	 315.385	 386.895	 263.214	 96.152	 215.839	 191.774	 352.289	 308107.794	 132591.020	 281483.234	 205461.773	 357141.453
27.05	 390.832	 42.193	 401.884	 390.540	 412.856	 258.126	 142.398	 213.431	 193.593	 260.236	 348583.320	 107528.885	 343084.609	 291490.492	 406666.133
27.15	 373.657	 53.388	 394.537	 342.541	 406.988	 251.827	 103.589	 201.554	 184.477	 294.899	 366859.189	 151986.865	 355227.188	 260133.980	 442927.273
27.25	 385.531	 29.612	 383.509	 373.715	 399.073	 249.160	 80.952	 269.052	 166.188	 309.604	 337085.201	 106607.609	 303705.031	 250164.609	 414342.344
27.35	 403.505	 36.569	 395.822	 384.525	 419.468	 258.487	 110.895	 188.473	 160.045	 344.197	 377673.871	 150821.642	 332070.641	 239329.172	 509628.766
27.45	 435.760	 37.923	 430.987	 410.654	 458.158	 282.876	 115.906	 247.818	 169.553	 385.093	 417667.891	 117599.122	 423170.156	 334036.609	 473868.453
27.55	 401.755	 18.263	 397.176	 390.023	 410.600	 168.732	 38.733	 161.592	 153.265	 172.264	 291542.703	 80607.526	 278244.594	 232518.672	 332067.906
27.65	 346.721	 83.807	 389.224	 247.710	 410.056	 283.418	 141.486	 185.062	 153.782	 433.088	 268842.751	 175701.679	 223188.562	 143430.953	 308448.312
27.75	 328.839	 73.572	 304.692	 253.250	 401.720	 323.077	 144.070	 383.265	 159.093	 438.825	 233040.670	 130408.475	 197307.688	 147718.859	 263816.391
27.85	 340.335	 66.204	 325.698	 263.014	 402.222	 292.778	 122.414	 337.065	 158.387	 379.130	 238694.832	 124683.041	 217193.625	 139846.617	 271319.359
27.95	 342.277	 65.885	 323.094	 267.806	 401.224	 298.407	 126.359	 324.973	 155.438	 391.821	 242391.053	 132287.968	 218520.648	 158692.809	 251184.812
28.05	 369.646	 67.627	 399.455	 325.342	 413.976	 256.978	 144.912	 166.047	 145.287	 354.792	 294990.840	 174729.390	 251815.781	 219599.809	 319786.664
28.15	 405.841	 51.901	 416.795	 341.391	 441.934	 250.479	 162.409	 161.982	 147.398	 375.995	 403763.120	 208669.017	 343739.719	 237820.906	 490498.375
28.25	 402.438	 38.877	 407.130	 400.325	 422.866	 208.010	 129.908	 147.356	 139.339	 171.696	 307461.903	 110770.298	 277236.312	 235735.016	 347716.688
28.35	 419.265	 48.064	 413.857	 407.868	 434.204	 181.208	 114.737	 143.249	 135.520	 156.822	 373229.248	 277700.176	 255645.531	 204682.609	 412104.094
28.45	 379.057	 76.131	 422.134	 284.195	 435.557	 214.423	 99.567	 146.169	 135.435	 330.715	 282630.907	 163276.746	 236062.914	 173868.984	 313480.734
28.55	 369.551	 76.416	 415.423	 280.370	 434.940	 223.653	 95.847	 161.358	 138.155	 303.731	 236846.234	 112186.906	 226809.609	 136379.562	 291992.125
28.65	 361.269	 73.485	 343.365	 288.319	 436.909	 249.480	 114.780	 275.267	 136.160	 293.332	 242494.691	 135207.703	 229831.469	 131559.734	 297988.844
28.75	 373.484	 72.216	 374.820	 292.044	 438.177	 290.169	 120.791	 274.428	 157.080	 396.390	 317336.878	 197644.127	 297272.469	 132363.371	 423530.500
28.85	 363.162	 70.440	 343.061	 289.717	 432.476	 288.092	 117.274	 282.995	 151.536	 396.255	 279390.630	 167931.745	 258939.828	 130880.688	 350851.219
28.95	 368.903	 79.577	 338.640	 293.067	 449.739	 275.729	 113.278	 259.997	 156.066	 377.578	 297884.612	 203163.591	 241476.398	 132979.977	 378965.570
29.05	 377.682	 71.533	 352.787	 320.194	 445.217	 276.514	 122.370	 314.184	 132.639	 373.620	 330793.054	 186759.043	 275473.344	 199836.609	 410626.070
29.15	 381.234	 66.198	 372.026	 318.853	 442.602	 258.674	 133.935	 241.980	 130.742	 383.727	 322922.601	 162110.218	 298639.750	 168556.367	 423103.109
29.25	 376.430	 58.611	 384.168	 306.880	 422.467	 270.430	 138.474	 258.688	 128.049	 395.138	 305858.578	 122606.737	 309062.516	 179422.652	 392331.117
29.35	 365.046	 50.615	 363.511	 307.910	 411.839	 287.990	 145.832	 257.254	 126.879	 430.858	 289704.814	 120597.871	 275591.406	 175771.254	 368965.875
29.45	 406.253	 50.054	 424.717	 411.503	 436.334	 173.029	 112.424	 125.204	 121.026	 139.458	 292992.955	 91926.405	 283492.734	 243231.172	 335823.375
29.55	 412.849	 28.713	 417.857	 405.040	 425.833	 142.000	 88.455	 123.860	 120.075	 128.260	 282166.900	 64562.770	 273603.531	 245740.770	 304536.750
29.65	 398.077	 53.654	 414.553	 396.448	 431.816	 211.484	 159.741	 124.620	 119.013	 149.117	 292052.953	 83970.464	 272510.547	 235783.898	 326053.367
29.75	 390.621	 53.154	 404.661	 331.665	 424.195	 237.485	 171.893	 123.820	 115.269	 453.804	 375685.562	 174365.398	 327311.469	 274689.812	 411898.891
29.85	 393.125	 41.314	 403.818	 357.193	 420.174	 249.311	 162.536	 123.843	 111.671	 433.870	 404834.282	 151310.241	 376195.672	 294506.414	 477274.352
29.95	 406.320	 54.441	 415.824	 371.337	 436.215	 220.553	 153.969	 119.223	 112.308	 415.496	 409217.995	 179500.893	 365119.984	 295201.172	 474245.977
30.05	 409.590	 54.395	 417.353	 379.296	 436.656	 213.900	 156.871	 118.630	 113.070	 411.661	 379075.941	 163191.507	 331669.047	 267382.711	 454716.195
30.15	 409.325	 61.286	 428.147	 378.416	 448.090	 210.211	 161.225	 119.007	 112.277	 364.865	 370259.787	 129859.317	 350295.250	 284835.227	 435520.836
30.25	 418.772	 54.516	 428.878	 378.254	 458.660	 216.753	 137.668	 119.795	 112.194	 377.055	 405269.303	 121953.181	 395340.906	 316356.875	 480173.344
30.35	 437.139	 53.516	 447.678	 421.516	 472.306	 161.377	 106.020	 116.244	 111.964	 123.243	 378430.733	 114468.105	 361076.641	 295720.742	 435579.633
30.45	 415.834	 48.612	 424.437	 395.957	 442.804	 187.828	 123.159	 115.738	 108.552	 347.611	 354978.320	 115706.805	 331110.172	 270136.758	 419330.680
30.55	 405.244	 54.499	 416.903	 360.389	 439.916	 209.091	 133.095	 117.608	 108.797	 368.967	 341040.913	 124713.861	 320547.984	 252032.324	 405399.633
30.65	 472.870	 62.966	 487.388	 453.115	 514.521	 169.205	 119.059	 122.747	 116.548	 132.660	 529096.170	 189105.149	 500573.469	 417281.172	 600560.531
30.75	 458.165	 74.405	 482.028	 427.459	 504.918	 165.205	 135.540	 116.248	 110.627	 123.409	 430358.773	 192364.934	 430850.750	 284500.031	 514003.844
30.85	 354.259	 49.083	 348.773	 310.334	 398.874	 260.215	 277.470	 218.746	 123.138	 297.925	 272872.386	 68489.274	 265133.594	 242096.203	 294449.281
30.95	 357.743	 46.157	 372.328	 314.734	 395.080	 232.615	 276.539	 227.301	 124.027	 257.174	 268831.131	 99124.592	 249877.398	 194529.473	 312598.297
31.05	 402.298	 56.015	 409.972	 351.777	 439.869	 169.936	 63.498	 139.756	 131.798	 221.833	 376594.883	 155366.885	 353107.344	 257723.617	 462101.141
31.15	 395.982	 61.539	 402.057	 329.417	 442.326	 331.219	 564.726	 141.121	 130.855	 223.842	 374834.711	 195178.527	 348433.219	 228019.469	 500474.594
31.25	 406.276	 61.790	 408.620	 370.256	 451.765	 191.147	 154.579	 150.196	 142.059	 176.785	 431438.887	 184546.437	 407674.484	 280187.188	 555439.953
31.35	 350.540	 40.756	 360.975	 309.983	 378.156	 213.951	 95.476	 176.411	 146.917	 252.612	 289710.294	 95129.234	 276178.906	 211278.859	 336731.281
31.45	 391.957	 67.831	 373.594	 353.547	 398.555	 208.190	 92.419	 188.897	 145.902	 241.374	 357892.220	 100137.263	 345188.250	 280770.156	 426289.219
31.55	 344.376	 28.386	 339.456	 321.469	 363.081	 210.659	 103.880	 205.674	 156.237	 217.687	 286940.822	 122723.545	 241116.688	 193940.688	 352518.062
31.65	 344.484	 31.656	 343.789	 315.655	 368.949	 253.969	 143.873	 217.314	 169.091	 233.381	 298358.935	 151562.110	 233131.805	 174295.363	 411793.688
31.75	 343.754	 44.543	 320.448	 313.428	 367.099	 231.457	 117.686	 211.748	 175.677	 221.459	 289180.810	 189785.865	 179073.703	 161457.863	 399449.406
31.85	 311.302	 21.130	 308.562	 301.468	 319.341	 260.083	 70.844	 238.904	 222.293	 271.289	 218652.745	 61189.420	 214266.688	 170867.691	 247905.613
31.95	 304.760	 15.184	 304.110	 297.152	 313.640	 280.853	 104.495	 239.947	 219.251	 312.415	 210014.543	 60149.868	 199616.234	 162975.906	 239104.336
32.05	 308.240	 26.200	 309.423	 290.118	 324.049	 298.252	 123.509	 263.794	 222.206	 318.297	 196515.218	 41468.666	 189075.734	 170644.863	 212199.930
32.150000000000006	 302.241	 44.720	 307.943	 263.050	 325.507	 312.179	 140.472	 296.102	 206.723	 348.337	 198137.571	 106012.438	 165515.867	 150700.824	 184106.996
32.25	 335.530	 70.898	 332.900	 258.513	 394.673	 352.065	 151.166	 369.739	 205.293	 424.936	 282446.250	 170161.808	 171267.125	 149163.328	 447406.094
32.349999999999994	 302.763	 29.438	 306.181	 275.457	 320.358	 297.361	 114.441	 273.741	 204.470	 356.795	 198906.979	 66689.886	 175588.141	 156886.332	 209648.488
32.45	 297.577	 41.432	 302.232	 258.298	 321.094	 282.055	 78.646	 242.033	 219.033	 341.575	 208156.656	 81871.809	 181268.578	 158116.102	 224129.648
32.55	 327.562	 24.106	 321.766	 312.431	 338.891	 221.237	 64.384	 213.750	 202.395	 226.010	 234792.752	 65906.692	 229296.148	 186463.953	 266102.305
32.650000000000006	 357.915	 58.384	 330.144	 313.770	 394.129	 210.043	 112.217	 203.714	 169.429	 215.490	 252560.124	 77547.910	 254290.656	 187071.078	 305312.266
32.75	 336.959	 59.233	 318.901	 305.596	 349.979	 306.653	 316.684	 202.156	 190.729	 263.220	 225956.677	 81301.104	 204450.062	 167463.234	 265184.781
32.849999999999994	 300.013	 29.941	 313.660	 270.344	 323.913	 260.231	 114.888	 247.439	 196.450	 306.719	 210838.569	 50012.496	 199195.047	 179350.609	 227545.641
32.95	 302.622	 27.997	 307.410	 280.600	 321.865	 284.297	 204.523	 238.211	 211.256	 281.906	 220113.361	 55785.670	 213234.484	 180366.570	 250346.234
33.05	 314.385	 52.467	 306.140	 276.847	 324.081	 281.656	 197.772	 229.862	 213.522	 283.728	 238134.058	 115280.566	 193103.398	 162481.781	 269212.492
33.150000000000006	 322.044	 47.126	 312.263	 288.337	 334.801	 221.284	 52.727	 213.355	 202.530	 230.750	 234117.541	 108659.545	 184558.852	 161454.387	 274114.156
33.25	 307.667	 26.721	 306.116	 291.353	 315.192	 254.549	 178.041	 215.463	 201.574	 236.179	 193387.450	 57442.657	 180003.211	 154417.758	 214867.172
33.349999999999994	 309.954	 33.623	 303.296	 288.006	 321.071	 343.118	 345.297	 222.881	 205.555	 242.305	 213706.562	 81672.635	 187967.734	 160382.707	 236996.211
33.45	 292.705	 19.958	 287.337	 276.149	 308.000	 298.415	 250.471	 241.326	 209.770	 257.266	 164522.919	 27402.666	 158490.250	 146202.953	 176717.590
33.55	 308.854	 31.876	 300.582	 286.793	 318.044	 239.770	 113.560	 225.218	 206.733	 245.154	 199756.543	 54108.041	 185654.859	 162364.965	 223430.930
33.650000000000006	 310.982	 38.368	 301.759	 287.214	 315.555	 246.159	 113.922	 234.521	 210.496	 256.788	 220828.736	 82771.802	 197815.219	 164998.078	 253181.609
33.75	 312.680	 34.685	 306.722	 286.358	 327.881	 287.974	 251.571	 216.023	 195.518	 245.971	 202276.328	 53327.035	 191251.250	 163169.109	 230514.523
33.849999999999994	 304.650	 25.941	 298.589	 286.301	 322.091	 234.377	 140.703	 207.395	 183.412	 230.796	 193315.310	 37889.739	 187586.812	 167345.469	 214665.609
33.95	 292.182	 14.557	 290.768	 283.143	 299.361	 219.033	 40.303	 210.701	 200.487	 221.361	 180506.559	 33586.445	 174544.016	 159216.117	 193426.328
34.05	 311.537	 20.144	 312.212	 299.690	 323.741	 198.722	 67.714	 188.043	 175.665	 201.420	 206626.092	 24233.245	 205253.906	 191338.578	 221171.984
34.150000000000006	 289.218	 28.988	 280.093	 261.254	 318.500	 254.242	 89.375	 277.260	 179.860	 313.197	 178068.679	 40804.528	 172049.336	 144973.766	 206217.934
34.25	 289.456	 30.109	 278.130	 267.621	 307.328	 328.273	 201.497	 299.920	 254.760	 323.977	 162504.768	 47916.919	 150545.906	 133115.344	 170703.547
34.349999999999994	 280.419	 20.621	 273.514	 267.053	 285.837	 314.610	 106.218	 308.141	 293.718	 321.223	 166062.840	 71390.692	 140711.875	 129552.762	 157707.434
34.45	 334.764	 41.303	 333.625	 298.761	 357.581	 228.067	 122.743	 194.450	 174.203	 263.645	 319024.167	 161637.950	 268789.594	 195031.031	 403452.312
34.55	 357.321	 31.631	 349.288	 336.122	 368.234	 200.569	 135.909	 169.505	 158.801	 189.585	 331438.592	 127953.921	 303070.406	 248357.203	 374793.219
34.650000000000006	 350.764	 39.141	 344.917	 333.171	 364.382	 205.788	 63.324	 183.320	 164.318	 223.596	 274681.519	 64288.535	 265471.500	 226605.883	 318113.516
34.75	 340.158	 21.041	 342.643	 328.729	 354.957	 213.072	 152.451	 167.041	 151.480	 257.885	 284807.246	 57692.848	 287259.453	 246371.887	 322401.641
34.849999999999994	 341.838	 18.238	 338.136	 330.783	 353.077	 178.043	 60.758	 153.116	 144.592	 189.617	 271120.891	 68921.152	 259815.594	 215803.965	 319316.750
34.95	 336.371	 19.955	 332.704	 324.489	 343.178	 167.351	 67.859	 153.253	 142.885	 168.856	 287297.306	 84947.545	 268326.281	 231386.734	 322417.820
35.05	 329.631	 27.048	 328.160	 310.917	 348.657	 175.111	 148.427	 133.368	 108.449	 221.120	 263925.248	 102584.182	 236465.594	 199465.531	 290567.438
35.150000000000006	 343.026	 31.605	 360.261	 313.693	 368.744	 158.052	 76.088	 102.049	 94.666	 242.447	 244798.468	 51945.234	 235326.719	 211476.875	 268957.219
35.25	 347.068	 38.797	 360.622	 310.629	 377.914	 160.544	 94.443	 101.216	 95.786	 250.463	 240452.003	 64978.726	 221500.641	 200473.523	 261415.855
35.349999999999994	 342.048	 38.797	 354.169	 304.654	 373.314	 204.601	 77.481	 227.454	 122.639	 265.346	 258104.947	 68575.339	 247882.250	 211388.781	 289540.375
35.45	 348.765	 32.225	 355.712	 324.523	 372.885	 311.274	 141.623	 283.936	 261.807	 308.842	 276302.692	 97609.835	 274944.406	 174036.312	 348546.406
35.55	 328.869	 48.760	 317.266	 283.907	 377.883	 307.154	 125.215	 271.187	 250.746	 300.888	 308074.237	 98130.646	 317804.734	 217000.238	 384261.820
35.650000000000006	 282.042	 31.966	 278.812	 260.604	 290.054	 352.058	 77.797	 321.607	 291.074	 411.496	 234528.461	 75649.952	 216545.578	 193465.738	 248217.895
35.75	 307.029	 35.323	 300.532	 287.546	 327.238	 266.196	 97.668	 235.976	 208.414	 269.633	 262443.665	 77243.924	 242519.859	 219544.203	 279748.094
35.849999999999994	 311.044	 26.277	 316.300	 304.172	 326.912	 256.768	 140.793	 196.518	 180.711	 256.207	 269072.793	 58644.936	 256953.664	 232955.801	 294459.852
35.95	 321.253	 29.555	 319.868	 310.623	 338.370	 219.827	 89.483	 192.762	 170.990	 224.383	 285194.070	 77791.991	 264311.391	 228040.156	 331484.188
36.05	 323.205	 39.416	 322.160	 311.573	 343.906	 225.469	 118.685	 182.511	 167.672	 208.509	 292741.796	 106887.198	 268554.500	 224075.531	 339546.500
36.150000000000006	 342.195	 59.339	 339.770	 309.947	 371.371	 223.774	 98.312	 183.277	 164.217	 226.108	 346807.434	 139788.479	 321585.375	 243263.273	 436628.062
36.25	 321.518	 32.828	 321.096	 303.690	 341.040	 277.995	 127.122	 310.033	 160.389	 356.663	 300147.937	 98669.182	 286242.562	 230942.879	 345604.000
36.349999999999994	 317.099	 39.828	 325.375	 298.860	 346.837	 283.958	 148.733	 261.909	 159.047	 343.197	 310775.959	 103498.478	 304165.844	 230153.312	 385762.047
36.45	 346.860	 52.576	 344.839	 322.052	 380.446	 249.225	 210.225	 190.583	 141.880	 235.882	 376375.312	 181287.034	 321993.203	 239949.625	 516000.016
36.55	 330.122	 38.335	 335.094	 314.321	 352.204	 245.630	 157.424	 201.951	 137.360	 310.806	 318563.594	 134477.485	 272305.844	 233311.828	 385470.969
36.650000000000006	 366.906	 38.072	 369.379	 347.605	 387.767	 204.821	 221.032	 122.905	 114.447	 198.824	 351310.823	 153694.995	 317899.797	 261579.129	 429821.672
36.75	 347.780	 39.997	 351.901	 306.512	 377.994	 419.607	 371.922	 247.257	 132.175	 840.171	 287215.606	 157085.975	 326972.031	 119755.781	 398560.922
36.849999999999994	 339.172	 38.877	 351.915	 304.635	 371.474	 437.075	 270.647	 269.498	 233.903	 766.120	 274501.360	 168946.712	 337071.719	 74248.531	 420091.516
36.95	 342.971	 42.567	 325.720	 309.644	 386.295	 607.235	 418.347	 287.014	 245.690	 941.568	 265625.365	 209357.468	 214093.828	 53975.789	 475910.719
37.05	 344.667	 37.206	 359.166	 316.057	 371.203	 436.286	 325.761	 252.592	 238.710	 749.890	 309164.980	 160525.889	 376702.938	 106732.736	 433804.094
37.150000000000006	 327.743	 32.945	 335.018	 290.700	 350.946	 448.178	 328.637	 279.741	 257.254	 769.392	 303903.316	 144076.460	 345824.828	 111276.982	 409302.852
37.25	 334.842	 22.633	 336.588	 320.724	 350.229	 254.755	 52.282	 251.383	 230.385	 281.993	 355624.169	 70603.067	 357768.625	 319198.031	 398159.898
37.349999999999994	 333.718	 22.000	 332.111	 323.491	 344.417	 244.493	 62.040	 238.662	 219.137	 264.991	 377942.195	 91066.290	 375754.141	 325832.617	 438619.461
37.45	 308.003	 44.062	 309.660	 268.688	 350.545	 405.542	 237.949	 256.727	 214.426	 697.596	 265442.784	 179165.438	 246957.156	 58870.053	 434996.938
37.55	 314.353	 47.677	 300.799	 286.091	 359.997	 420.098	 212.450	 282.243	 225.338	 647.490	 258003.837	 186139.564	 211355.828	 54592.619	 441640.828
37.650000000000006	 309.147	 45.652	 298.237	 286.573	 346.744	 437.281	 231.801	 414.384	 218.927	 700.445	 238437.451	 182999.487	 188517.156	 58720.090	 387837.031
37.75	 309.221	 32.146	 305.144	 295.445	 324.676	 442.787	 268.168	 282.683	 207.062	 719.727	 216128.933	 145497.212	 210222.766	 57882.845	 330928.633
37.849999999999994	 299.253	 22.394	 300.246	 289.995	 312.720	 412.152	 240.207	 276.904	 213.010	 732.621	 196202.868	 109384.567	 197826.156	 73557.689	 266133.656
37.95	 330.869	 42.193	 325.405	 302.749	 352.968	 407.437	 276.064	 225.434	 198.381	 715.127	 271155.487	 164016.775	 279265.531	 88384.852	 407399.562
38.05	 351.692	 51.860	 338.258	 312.206	 385.103	 383.125	 278.902	 230.719	 185.375	 722.356	 329127.084	 185766.983	 357115.141	 99755.865	 473019.570
