r [Rsol]	 vr_mean [km/s]	 vr_stddev [km/s]	 vr_median [km/s]	 vr_q1 [km/s]	 vr_q3 [km/s]	 rho_mean [cm-3]	 rho_stddev [cm-3]	 rho_median [cm-3]	 rho_q1 [cm-3]	 rho_q3 [cm-3]	 T_mean [K]	 T_stddev [K]	 T_median [K]	 T_q1 [K]	 T_q3 [K]
44.95	 326.957	 59.471	 298.763	 283.581	 400.601	 202.921	 159.652	 170.051	 82.921	 188.426	 116060.567	 61746.405	 94188.859	 67720.305	 152133.969
45.05	 345.459	 85.330	 300.972	 280.125	 410.756	 196.933	 176.007	 166.831	 77.099	 191.958	 126876.178	 68770.641	 94522.953	 74874.844	 166001.578
45.150000000000006	 348.175	 85.803	 319.492	 274.428	 417.388	 222.524	 213.184	 145.055	 75.138	 189.027	 114833.112	 63023.214	 90459.820	 68408.902	 158062.180
45.25	 342.230	 73.879	 318.007	 289.261	 420.298	 187.557	 147.227	 156.718	 75.917	 179.702	 106612.219	 58818.302	 77459.789	 66769.945	 137437.594
45.349999999999994	 338.690	 71.428	 327.337	 262.861	 425.698	 173.720	 146.426	 161.411	 73.828	 184.312	 107528.679	 58881.852	 79518.438	 68007.812	 133093.719
45.45	 347.854	 65.913	 328.711	 292.761	 426.574	 204.824	 173.498	 187.610	 69.891	 212.912	 113523.640	 53098.611	 97310.734	 71535.438	 140345.500
45.55	 353.532	 73.474	 311.204	 297.883	 436.823	 184.512	 152.173	 150.220	 65.841	 206.992	 126862.825	 49617.229	 114597.367	 89131.672	 151424.527
45.650000000000006	 343.636	 72.157	 306.747	 288.437	 437.002	 213.033	 167.781	 162.153	 65.825	 260.540	 128637.636	 71308.805	 97352.590	 71587.836	 176592.566
45.75	 382.568	 92.315	 340.086	 321.775	 444.163	 191.634	 154.375	 149.698	 61.186	 235.581	 148302.620	 158704.725	 78347.918	 55357.821	 187404.719
45.849999999999994	 387.128	 93.358	 349.249	 340.388	 483.294	 206.380	 151.455	 200.748	 64.537	 228.504	 175870.588	 202742.495	 63092.879	 37741.151	 290514.023
45.95	 405.975	 89.917	 360.542	 347.883	 497.056	 177.724	 154.183	 158.846	 62.044	 184.216	 175767.362	 183705.513	 74914.945	 45040.156	 254740.344
46.05	 395.621	 54.518	 369.713	 363.249	 444.488	 144.204	 106.835	 145.882	 71.034	 161.931	 117230.251	 104835.387	 53497.605	 41015.461	 179712.055
46.150000000000006	 377.364	 48.430	 370.473	 361.119	 376.188	 207.867	 156.134	 177.010	 159.938	 201.589	 92312.210	 105804.045	 36288.137	 31803.675	 130159.691
46.25	 375.288	 50.932	 374.961	 336.182	 401.263	 187.207	 107.605	 185.865	 154.017	 220.865	 128029.185	 66640.087	 119350.508	 78228.881	 159051.594
46.349999999999994	 370.226	 57.908	 374.788	 318.268	 422.758	 241.210	 192.436	 190.956	 138.466	 230.931	 144191.172	 85104.109	 111713.922	 92051.191	 157991.062
46.45	 349.773	 71.821	 333.332	 286.517	 411.736	 223.429	 210.982	 147.998	 87.203	 198.939	 185928.421	 106556.914	 150456.453	 107548.250	 240163.031
46.55	 355.608	 73.015	 320.716	 302.103	 429.163	 243.457	 236.133	 147.767	 83.038	 253.134	 197619.584	 140752.349	 133256.172	 109737.234	 244404.109
46.650000000000006	 374.608	 81.124	 336.962	 308.388	 446.487	 294.892	 234.933	 134.818	 77.561	 529.840	 231504.938	 134196.614	 209910.742	 111149.492	 309838.867
46.75	 366.669	 91.132	 324.590	 277.633	 446.221	 301.249	 221.700	 398.667	 74.722	 465.721	 201933.091	 113876.569	 157975.039	 119177.268	 250953.883
46.849999999999994	 346.869	 85.199	 318.964	 262.947	 425.788	 359.141	 239.713	 506.881	 81.907	 563.790	 202530.379	 163792.270	 114047.258	 77949.586	 314919.812
46.95	 353.184	 95.241	 314.419	 269.234	 441.258	 348.995	 239.204	 476.403	 79.408	 536.379	 184709.283	 149669.737	 108644.305	 75977.957	 282069.703
47.05	 328.868	 87.804	 291.393	 252.306	 416.827	 404.623	 257.742	 550.584	 79.747	 576.364	 191723.062	 168960.772	 109676.766	 74384.752	 285132.234
47.150000000000006	 327.915	 83.329	 327.864	 244.419	 417.728	 360.722	 252.446	 272.261	 80.688	 614.028	 194798.671	 181260.609	 106401.641	 66535.141	 299540.141
47.25	 326.157	 97.429	 286.266	 244.762	 437.971	 447.407	 279.991	 612.652	 79.260	 665.699	 202758.939	 191174.490	 114093.219	 67121.562	 329587.219
47.349999999999994	 333.403	 97.370	 293.923	 245.682	 444.265	 424.097	 295.146	 633.318	 65.233	 664.191	 163414.836	 113643.445	 131695.500	 69084.982	 242928.172
47.45	 325.965	 97.286	 291.346	 230.952	 443.402	 379.660	 252.718	 530.378	 69.467	 619.670	 151945.285	 114349.858	 129906.168	 55491.527	 209147.988
47.55	 320.837	 90.044	 290.160	 243.541	 436.398	 385.155	 227.414	 502.227	 99.725	 564.379	 163260.401	 152432.729	 117441.504	 55802.711	 174537.188
47.650000000000006	 318.192	 79.733	 282.564	 252.166	 433.651	 364.412	 220.120	 474.829	 71.688	 541.240	 124198.285	 73044.237	 110917.422	 59126.387	 154446.188
47.75	 315.121	 83.599	 279.521	 248.274	 436.744	 384.902	 253.168	 496.095	 68.871	 637.310	 123394.646	 65590.873	 118403.578	 65589.836	 151519.547
47.849999999999994	 281.577	 57.310	 267.427	 236.347	 291.411	 409.364	 229.224	 442.252	 170.087	 627.818	 120029.104	 77858.061	 111028.789	 67811.188	 135663.641
47.95	 289.352	 72.437	 268.182	 235.240	 292.004	 390.300	 253.095	 408.941	 160.711	 667.634	 113906.336	 55666.241	 116452.121	 65347.123	 140684.914
48.05	 331.731	 97.876	 297.351	 244.273	 453.940	 336.477	 264.829	 178.781	 69.153	 654.127	 140160.335	 73545.657	 134515.891	 70924.045	 193873.352
48.150000000000006	 324.816	 97.298	 287.280	 245.621	 436.007	 388.484	 257.437	 433.831	 75.725	 645.308	 141126.689	 89926.042	 130336.223	 67477.547	 171009.426
48.25	 330.858	 98.747	 294.472	 243.028	 448.276	 395.136	 251.836	 509.118	 68.864	 621.192	 131537.503	 82578.850	 124614.961	 60902.912	 180070.574
48.349999999999994	 310.156	 90.588	 277.718	 241.969	 305.101	 395.921	 228.588	 505.586	 163.313	 566.100	 133163.396	 85879.025	 90488.039	 59663.180	 165579.203
48.45	 316.826	 91.552	 280.704	 261.950	 300.352	 366.483	 227.521	 440.113	 147.496	 555.647	 128477.703	 79271.855	 112784.281	 68136.340	 153560.520
48.55	 346.876	 115.932	 288.010	 262.955	 458.847	 332.948	 238.703	 442.832	 66.755	 533.067	 130455.451	 62609.033	 127857.262	 70929.998	 173015.723
48.650000000000006	 346.359	 115.877	 284.784	 245.927	 476.101	 324.328	 208.763	 431.218	 71.456	 478.086	 153536.142	 125913.703	 86509.441	 57549.427	 226167.758
48.75	 333.753	 106.586	 279.938	 250.378	 454.999	 304.653	 195.974	 415.464	 76.814	 468.057	 149324.473	 122299.259	 103029.375	 56812.789	 216168.133
48.849999999999994	 330.327	 102.390	 283.950	 265.037	 435.669	 321.975	 203.903	 394.174	 95.334	 488.136	 163145.694	 144450.765	 91223.164	 53666.311	 223758.875
48.95	 320.126	 95.633	 283.956	 263.207	 330.194	 336.670	 200.540	 427.023	 154.890	 503.896	 171149.442	 153289.334	 85231.652	 54916.151	 240324.109
49.05	 291.487	 70.725	 266.573	 256.688	 275.559	 341.285	 177.492	 421.979	 168.766	 470.034	 152887.641	 173292.530	 85510.574	 57675.952	 136170.957
49.150000000000006	 309.515	 81.358	 271.629	 259.870	 303.648	 306.649	 162.032	 410.862	 161.076	 443.365	 190285.061	 231377.229	 89840.195	 60691.962	 132834.879
49.25	 327.955	 94.462	 276.926	 264.582	 318.543	 276.202	 156.100	 174.514	 146.160	 412.814	 215938.615	 236533.372	 100991.266	 65312.184	 170262.188
49.349999999999994	 312.486	 74.696	 278.663	 261.955	 322.961	 303.933	 189.010	 345.238	 146.257	 416.180	 199831.708	 199939.103	 104368.406	 73491.973	 213110.203
49.45	 326.975	 88.033	 289.000	 263.502	 313.413	 305.235	 181.134	 360.988	 142.630	 415.651	 194033.716	 181706.253	 109731.250	 82158.188	 189120.281
49.55	 328.992	 84.888	 290.071	 265.724	 421.670	 295.887	 173.108	 343.149	 133.597	 395.300	 202469.399	 180712.383	 112352.098	 82509.213	 362293.539
49.650000000000006	 334.716	 92.026	 292.195	 258.475	 457.677	 279.658	 151.800	 345.605	 132.397	 376.465	 210384.946	 173230.178	 127414.613	 81360.801	 375980.109
49.75	 324.389	 77.495	 282.431	 260.836	 419.378	 315.995	 155.733	 362.167	 137.937	 381.326	 195901.670	 158474.953	 106444.289	 82034.000	 344213.656
49.849999999999994	 317.110	 58.216	 297.116	 264.167	 375.108	 299.937	 158.587	 354.075	 149.576	 381.672	 190328.664	 147769.358	 114916.871	 88037.502	 322640.117
49.95	 312.747	 51.580	 297.311	 263.614	 358.248	 335.825	 173.898	 364.342	 147.056	 387.330	 175121.912	 126846.376	 101405.234	 88117.812	 292559.500
50.05	 305.657	 44.250	 296.358	 261.208	 338.544	 325.511	 174.804	 380.627	 161.068	 401.340	 173539.314	 116074.809	 110370.180	 88607.258	 278313.578
50.150000000000006	 324.427	 75.463	 318.576	 270.870	 331.856	 270.991	 171.974	 181.882	 165.939	 375.394	 167943.886	 98996.469	 137893.391	 89606.607	 194218.184
50.25	 304.533	 66.940	 282.885	 269.862	 313.415	 273.324	 153.588	 210.169	 168.454	 344.678	 131983.560	 46611.452	 129762.523	 91776.305	 158615.672
50.349999999999994	 313.684	 72.091	 302.188	 268.192	 318.081	 279.503	 159.232	 233.425	 168.845	 334.008	 141703.398	 68727.392	 128978.121	 86665.861	 172563.078
50.45	 320.019	 80.170	 303.886	 265.695	 326.732	 285.992	 163.141	 297.698	 167.751	 331.967	 148469.528	 82686.741	 117470.078	 90064.633	 178239.680
