r [km] 	 vr [km/s] 
23643720.0 	 254.7359619140625
23643704.0 	 252.09231567382812
23643388.0 	 246.65565490722656
23642874.0 	 268.84649658203125
23642842.0 	 254.77426147460938
23642326.0 	 256.54522705078125
23642294.0 	 254.8771209716797
23641746.0 	 249.31150817871094
23641596.0 	 269.69195556640625
23641580.0 	 255.7421417236328
23641564.0 	 256.2391662597656
23641548.0 	 270.3341369628906
23641398.0 	 256.6341552734375
23641382.0 	 256.698974609375
23641364.0 	 254.91873168945312
23641348.0 	 254.89805603027344
23641332.0 	 253.627685546875
23641316.0 	 256.5826721191406
23641298.0 	 257.38995361328125
23641200.0 	 252.628173828125
23641018.0 	 260.5099182128906
23641000.0 	 258.3116149902344
23640684.0 	 269.13861083984375
23640652.0 	 261.5220947265625
23640636.0 	 265.55596923828125
23640536.0 	 260.2464904785156
23640520.0 	 259.2396545410156
23640402.0 	 263.9018859863281
23640386.0 	 263.1895751953125
23640372.0 	 262.3912353515625
23640354.0 	 258.386962890625
23640238.0 	 257.6827392578125
23640220.0 	 256.5954284667969
23640206.0 	 260.82763671875
23640138.0 	 278.339111328125
23640104.0 	 257.32208251953125
23640088.0 	 267.64703369140625
23640056.0 	 270.48138427734375
23640040.0 	 264.3110656738281
23640022.0 	 269.8244934082031
23640006.0 	 270.5121765136719
23639824.0 	 261.2150573730469
23639806.0 	 261.5130920410156
23639792.0 	 272.6982116699219
23639772.0 	 267.4004821777344
23639758.0 	 271.9002685546875
23639724.0 	 265.4045715332031
23639708.0 	 266.5771179199219
23639592.0 	 256.87664794921875
23639558.0 	 260.4691162109375
23639540.0 	 258.0369567871094
23639526.0 	 260.2222595214844
23639508.0 	 263.8067626953125
23639492.0 	 262.0968322753906
23639474.0 	 264.7557678222656
23639408.0 	 262.5480041503906
23639392.0 	 260.0345458984375
23639376.0 	 257.6939697265625
23639310.0 	 259.9522399902344
23639294.0 	 260.0715637207031
23639078.0 	 259.1294860839844
23639062.0 	 258.05517578125
23639044.0 	 259.8601379394531
23639012.0 	 257.7626037597656
23638994.0 	 257.6498107910156
23638978.0 	 257.15618896484375
23638962.0 	 256.91497802734375
23638728.0 	 261.59722900390625
23638712.0 	 258.005126953125
23638664.0 	 256.1502380371094
23638646.0 	 253.5277099609375
23638630.0 	 253.74400329589844
23638612.0 	 253.43853759765625
23638496.0 	 256.05828857421875
23638464.0 	 256.3896179199219
23638448.0 	 255.7210235595703
23638232.0 	 250.79588317871094
23638216.0 	 251.87637329101562
23638198.0 	 256.5956115722656
23638184.0 	 255.36854553222656
23638084.0 	 250.00341796875
23638064.0 	 253.24371337890625
23638050.0 	 256.0557861328125
23638032.0 	 252.313232421875
23638018.0 	 251.63345336914062
23637982.0 	 254.52813720703125
23637968.0 	 256.52508544921875
23637950.0 	 259.69378662109375
23637916.0 	 255.7367706298828
23637752.0 	 255.04879760742188
23637734.0 	 254.27777099609375
23637718.0 	 254.35824584960938
23637700.0 	 254.4998321533203
23637684.0 	 251.4995880126953
23637584.0 	 252.7705841064453
23637568.0 	 253.62112426757812
23637502.0 	 251.58383178710938
23637486.0 	 248.61502075195312
23637372.0 	 255.02781677246094
23637270.0 	 255.6695556640625
23637122.0 	 259.2616882324219
23637104.0 	 262.46978759765625
23637088.0 	 257.4928283691406
23637070.0 	 257.2643127441406
23637022.0 	 260.5534973144531
23637006.0 	 257.138427734375
23636988.0 	 259.70513916015625
23636856.0 	 271.3944396972656
23636824.0 	 259.0207214355469
23636806.0 	 257.2710266113281
23636790.0 	 254.0130615234375
23636708.0 	 255.0697784423828
23636690.0 	 255.73216247558594
23636658.0 	 257.3447570800781
23636640.0 	 257.1007385253906
23636624.0 	 254.0395050048828
23636608.0 	 256.15753173828125
23636492.0 	 258.4686584472656
23636474.0 	 256.272705078125
23636460.0 	 256.6888122558594
23636440.0 	 256.1021423339844
23636426.0 	 257.8633117675781
23636376.0 	 257.17376708984375
23636360.0 	 257.8298034667969
23636342.0 	 258.8367004394531
23636326.0 	 259.38214111328125
23636310.0 	 257.88348388671875
23636276.0 	 256.1348876953125
23636258.0 	 257.65887451171875
23636244.0 	 256.6643981933594
23636226.0 	 257.4349670410156
23636210.0 	 256.55377197265625
23636160.0 	 252.02952575683594
23636142.0 	 253.40145874023438
23636126.0 	 249.4190673828125
23636110.0 	 255.6966552734375
23635960.0 	 261.577880859375
23635928.0 	 258.87176513671875
23635812.0 	 270.36181640625
23635712.0 	 253.6216278076172
23635662.0 	 254.65760803222656
23635648.0 	 251.76734924316406
23635168.0 	 250.67230224609375
23634636.0 	 255.8529052734375
23634620.0 	 254.701171875
23634486.0 	 259.7960205078125
23634470.0 	 258.7929382324219
23634454.0 	 256.3239440917969
23634436.0 	 258.3253173828125
23634404.0 	 258.5445251464844
23634386.0 	 258.5993957519531
23634370.0 	 257.285400390625
23634352.0 	 255.52110290527344
23634338.0 	 254.96524047851562
23634320.0 	 253.0537872314453
23634304.0 	 256.9508056640625
23634288.0 	 256.4440002441406
23634272.0 	 258.43865966796875
23634256.0 	 259.9455261230469
23634238.0 	 258.8858642578125
23634222.0 	 257.60467529296875
23634204.0 	 258.7486267089844
23634188.0 	 254.94647216796875
23634154.0 	 267.5299377441406
23634138.0 	 258.83721923828125
23634122.0 	 258.3720703125
23634088.0 	 257.87225341796875
23634072.0 	 257.8841857910156
23634054.0 	 258.3839416503906
23634040.0 	 257.0762939453125
23633988.0 	 259.73687744140625
23633972.0 	 258.4759826660156
23633954.0 	 258.154052734375
23633924.0 	 271.0097961425781
23633890.0 	 268.4270935058594
23633806.0 	 266.8646240234375
23633790.0 	 262.62823486328125
23633774.0 	 261.7276306152344
23633756.0 	 252.36244201660156
23631902.0 	 249.1966552734375
23631354.0 	 251.9027862548828
23631188.0 	 255.1822967529297
23631172.0 	 253.5370330810547
23631156.0 	 259.60357666015625
23631140.0 	 259.9654235839844
23630842.0 	 267.281494140625
23630808.0 	 262.3620300292969
23630426.0 	 259.341552734375
23630410.0 	 254.1654815673828
23630262.0 	 254.18104553222656
23629964.0 	 260.86993408203125
23629946.0 	 261.5576477050781
23629930.0 	 259.6898498535156
23629716.0 	 270.3664855957031
23629648.0 	 290.4302062988281
23629632.0 	 295.1300048828125
23629170.0 	 265.57574462890625
23629150.0 	 261.8302307128906
23626434.0 	 260.0210266113281
23626418.0 	 264.6267395019531
23626402.0 	 261.952392578125
23626384.0 	 262.03759765625
23626370.0 	 259.951416015625
23625888.0 	 257.10443115234375
23625806.0 	 268.18328857421875
23625788.0 	 263.99176025390625
23625774.0 	 260.5021667480469
23625574.0 	 267.4630432128906
23625558.0 	 265.32415771484375
23625540.0 	 264.4764404296875
23625176.0 	 259.0212097167969
23625160.0 	 266.0250244140625
23625144.0 	 268.3814697265625
23625128.0 	 264.862060546875
23625110.0 	 269.14678955078125
23625042.0 	 265.5506591796875
23625028.0 	 265.9931945800781
23624946.0 	 272.0087890625
23624928.0 	 271.56982421875
23624912.0 	 269.4333801269531
23624828.0 	 263.9748840332031
23624794.0 	 263.1922607421875
23624778.0 	 259.3047180175781
23623704.0 	 249.32298278808594
23622610.0 	 247.77459716796875
23608412.0 	 272.35400390625
23607866.0 	 321.91326904296875
23607848.0 	 304.40185546875
23607600.0 	 300.92584228515625
23607584.0 	 302.0575256347656
23607568.0 	 302.80029296875
23607550.0 	 303.0204162597656
23607534.0 	 307.5760498046875
23607520.0 	 306.3338928222656
23607502.0 	 308.9814453125
23607486.0 	 305.6046142578125
23607468.0 	 305.8395690917969
23607452.0 	 305.0187683105469
23607436.0 	 304.2315673828125
23607418.0 	 305.30914306640625
23607402.0 	 304.93408203125
23607386.0 	 304.22369384765625
23607368.0 	 307.0092468261719
23607354.0 	 304.72882080078125
23607320.0 	 304.02886962890625
23607304.0 	 302.33099365234375
23607270.0 	 297.85113525390625
23607254.0 	 299.6741638183594
23607236.0 	 297.6335144042969
23607220.0 	 297.472900390625
23607202.0 	 294.8619689941406
23607188.0 	 299.5687561035156
23606972.0 	 288.1799621582031
23606954.0 	 289.1244812011719
23606938.0 	 289.2798156738281
23606922.0 	 289.76153564453125
23606906.0 	 288.4210510253906
23606808.0 	 279.645263671875
23606774.0 	 284.02398681640625
23606658.0 	 281.9276428222656
23606642.0 	 282.2002868652344
23606624.0 	 278.7552795410156
23606608.0 	 278.4632873535156
23606508.0 	 280.04302978515625
23606228.0 	 271.671142578125
23606078.0 	 269.8138427734375
23605946.0 	 275.1090393066406
23605930.0 	 276.5706481933594
23605832.0 	 267.1973571777344
23605814.0 	 268.6591796875
23605682.0 	 270.9053039550781
23605634.0 	 271.225341796875
23605136.0 	 272.7250061035156
23604590.0 	 275.37994384765625
23604342.0 	 287.5938720703125
23604326.0 	 283.5208435058594
23604046.0 	 281.46710205078125
23604028.0 	 286.8565979003906
23603994.0 	 285.29742431640625
23603928.0 	 291.9236755371094
23603912.0 	 299.77532958984375
23603896.0 	 293.8382263183594
23603880.0 	 293.5635986328125
23603862.0 	 293.6002502441406
23603846.0 	 294.4775695800781
23603830.0 	 286.4578857421875
23603500.0 	 269.18572998046875
23603250.0 	 285.1116027832031
23603234.0 	 283.9256286621094
23603136.0 	 293.8528747558594
23603118.0 	 297.0840759277344
23603102.0 	 302.72149658203125
23602986.0 	 289.9129638671875
23602954.0 	 284.55517578125
23602806.0 	 291.6864318847656
23602788.0 	 291.47601318359375
23602740.0 	 293.7660827636719
23602654.0 	 289.1446228027344
23602640.0 	 289.7922668457031
23602558.0 	 289.5381774902344
23602540.0 	 295.487060546875
23602492.0 	 296.69842529296875
23602474.0 	 293.4165344238281
23602458.0 	 298.8494873046875
23602440.0 	 298.9022216796875
23602408.0 	 296.25634765625
23602392.0 	 296.56304931640625
23602294.0 	 299.4825134277344
23602276.0 	 299.63568115234375
23602226.0 	 300.0016174316406
23602210.0 	 299.3850402832031
23602192.0 	 301.0912780761719
23602176.0 	 297.2660217285156
23602160.0 	 299.0555725097656
23602144.0 	 294.4642333984375
23602128.0 	 296.5030212402344
23602110.0 	 299.3588562011719
23602094.0 	 304.380859375
23602076.0 	 306.8638916015625
23602062.0 	 305.3626403808594
23602044.0 	 300.4881896972656
23602028.0 	 302.54345703125
23602012.0 	 300.9034729003906
23601996.0 	 299.9593505859375
23601862.0 	 295.98211669921875
23601812.0 	 299.6014099121094
23601796.0 	 300.3240051269531
23600226.0 	 266.6534423828125
23600094.0 	 285.4661560058594
23600076.0 	 282.70751953125
23598590.0 	 272.33428955078125
23598326.0 	 291.8848571777344
23598308.0 	 296.1312255859375
23598274.0 	 293.09857177734375
23598260.0 	 294.206298828125
23598242.0 	 292.8299865722656
23598226.0 	 286.9032287597656
23598208.0 	 295.9188537597656
23598194.0 	 294.6103515625
23598176.0 	 297.45654296875
23598160.0 	 297.12542724609375
23598142.0 	 291.9410400390625
23598110.0 	 289.0860290527344
23598094.0 	 297.5647277832031
23598078.0 	 297.51885986328125
23598044.0 	 295.66595458984375
23598028.0 	 295.8984375
23598012.0 	 297.4439697265625
23597996.0 	 294.9052734375
23597978.0 	 303.9593200683594
23597944.0 	 315.63787841796875
23597928.0 	 304.07318115234375
23597912.0 	 304.3746032714844
23597896.0 	 296.5164489746094
23597878.0 	 301.4995422363281
23597864.0 	 300.23858642578125
23597844.0 	 299.1360168457031
23597830.0 	 297.9833679199219
23597812.0 	 296.8184814453125
23597798.0 	 303.91064453125
23597780.0 	 296.5079040527344
23597764.0 	 297.8895263671875
23597746.0 	 288.1593322753906
23597730.0 	 296.8913879394531
23597714.0 	 293.9900207519531
23597698.0 	 295.59613037109375
23597680.0 	 291.51397705078125
23597664.0 	 295.2597961425781
23597646.0 	 295.9020080566406
23597614.0 	 290.50555419921875
23597598.0 	 294.81036376953125
23597582.0 	 293.4788513183594
23597566.0 	 288.8009948730469
23597548.0 	 295.1202392578125
23597532.0 	 301.2367858886719
23597500.0 	 291.75244140625
23597482.0 	 294.5394287109375
23597466.0 	 294.3718566894531
23597448.0 	 292.8876647949219
